,43,悪い癖,POS4U,タイマー,タイマー妥当性,低,未着手,難,,UI音声ループ、チャージ機無操作、お釣り抜け取り待ち、リモート年齢確認、釣銭機状況アップ、レーンレジ,,,要整理検討,,,
,44,悪い癖,POS4U,フラグ,フラグ妥当性,低,未着手,難,,,,,要整理検討,,,
,45,悪い癖,POS4U,ログ,ログ軽く,低,未着手,簡単,,,,,要整理,6443,受入テスト待ち,
,46,悪い癖,POS4U,ログ,AttendantPCObserver 年齢確認送信パラメーターは複数で記録,低,調査完了,簡単,,,,,,,,
,47,TODO,POS4U、LogicService,,,,,,,,,,要整理検討,,,
,48,HACK,POS4U,レシート印字,20190710緊急リリースのための応急処理,低,未着手,普通,,オーダーレシート印字、店控えレシート印字,,,要検討,,,
,49,HACK,POS4U,中間取引,GetIsWinPOSMTran,低,未着手,普通,,WinPOS中間取引フラグ取得,,,要検討,,,
,50,HACK,POS4U,PPM,PPM印字(右上日時、左下カード番号)ではない,低,未着手,普通,,,,,要検討,,,
,51,HACK,POS4U,領収書発行,横向け領収書発行(複数RJクラス、回転),低,未着手,普通,,,,,要検討,,,
,52,HACK,POS4U,UI,"一部のSettingMasterの設定で、店舗別＆全店舗情報しか取得できず、端末別の設定が取得できない問題；
一部のSettingMasterの設定で、端末別＆全店舗情報しか取得できず、店舗別の設定が取得できない問；
参照：
https://docs.google.com/spreadsheets/d/1CppWO4Gf7FsjpdxfWV3XYtLiQ8FqkD4g8IUYPcEMb3Q/edit?gid=0#gid=0",低,未着手,普通,毕雪,,,,要検討,,,
,53,共通化,POS4U,message,"messageについて、重要な点ではありませんが、メッセージ一覧を確認したところ、一部に句点があり、一部には句点がないことを確認しました。
",,未着手,普通,閻鳳図,すべて画面,,,,,,
,54,,POS4U,音声,【ありがとうございます】と音声再生タイミングがおかしい,,完了,普通,閻鳳図,,,,,5727,受入テスト待ち,
,55,,POS4U,レシート印字,印刷途中にエラーが発生したら、復元して、印刷されたものがおかしいです,,未着手,普通,閻鳳図,,,,,,キャプチャー①,
,56,,POS4U,メッセージ一覧,重複、統一しない、ハードコーディングなど,,未着手,普通,閻鳳図,,,,,,,
,57,,POS4U,多语言,英文表示下，现金支付时零钱机发生异常,,,,高源,,,,,,,
,58,,POS4U,,,,,,高源,,,,,,,
,59,,POS4U,,,,,,高源,,,,,,,
,60,,POS4U,,,,,,高源,,,,,,,
,61,,POS4U,,,,,,高源,,,,,,,
,62,,POS4U,,,,,,高源,,,,,,,
,63,,POS4U,,,,,,高源,,,,,,,
,64,,POS4U,,,,,,高源,,,,,,,
,65,,,,,,,,,,,,,,,
